Experiment,Particle,E1,pt1,eta1,phi1
602,j,796072,778326,-0.10682,-2.64283
603,j,281770,275947,-0.18247,2.09249
604,j,193415,148911,0.738885,1.85687
605,j,1.04062e+06,867435,0.620393,-2.02081
606,j,498176,375404,-0.777336,0.339437
607,j,699541,662076,-0.315574,2.06215
608,j,289190,275459,0.26005,-0.80807
609,j,538782,529075,0.0691727,-2.93892
610,j,548382,520215,0.321112,2.18359
611,j,595973,563295,-0.333687,0.94898
612,j,1.04555e+06,615301,1.1216,-2.17504
613,j,1.16459e+06,793709,-0.928364,-0.435792
614,j,1.72197e+06,1.35277e+06,0.722527,1.79785
615,j,1.41453e+06,389904,1.96189,2.71362
616,j,873631,448144,1.28349,2.07295
617,j,2.49448e+06,715785,-1.91984,0.998022
618,j,521501,419082,0.665907,-2.10038
619,j,587334,477401,-0.614363,-0.266712
620,j,269548,257563,0.222274,2.57524
621,j,456553,373588,-0.650618,0.270667
623,j,1.38961e+06,1.35215e+06,-0.206934,2.39386
624,j,1.19161e+06,583985,-1.33956,-0.306764
625,j,290434,219820,-0.773982,2.89924
626,j,712316,707059,0.100894,1.00675
627,j,657543,594545,-0.387529,-0.279634
628,j,1.39588e+06,954123,0.928344,1.47254
